alpha,alpha_s,mean_H,std_H,opacity_up,opacity_down,mi_lag1,mi_decay,gzip,score,w_H,w_OP_s,w_OP_t,w_G
1.3572,0.9055,0.717242,0.004744,0.0,0.716235,0.284768,0.283941,0.128229,1e-06,1.662333,1e-06,0.980616,0.850943
1.3572,1.0602,0.716186,0.004987,0.0,0.713734,0.195977,0.195739,0.132214,1e-06,1.680382,1e-06,0.919232,0.812554
1.3572,1.2415,0.714483,0.005904,0.0,0.710883,0.082723,0.081949,0.134089,0.0,1.746963,1e-06,0.451893,0.792612
1.3572,1.4537,0.712466,0.005874,0.0,0.707853,0.05009,0.049615,0.13362,0.0,1.74302,0.0,0.213306,0.79758
1.3572,1.7022,0.709234,0.00793,0.0,0.705701,0.036395,0.036292,0.132891,0.0,1.875923,0.0,0.121903,0.805439
1.3572,1.9932,0.706705,0.00781,0.0,0.702602,0.018927,0.018029,0.132161,0.0,1.857173,0.0,0.036469,0.813114
1.3572,2.3339,0.706981,0.007857,0.0,0.703697,0.015142,0.014137,0.13362,0.0,1.870343,0.0,0.024842,0.797647
1.3572,2.7328,0.705669,0.008899,0.0,0.70288,0.01728,0.016068,0.133568,0.0,1.918994,0.0,0.027414,0.798187
1.3572,3.2,0.704203,0.009104,0.0,0.701605,0.018787,0.018447,0.132656,0.0,1.930866,0.0,0.034219,0.807918
1.7616,0.3,0.693531,0.008635,0.0,0.693259,0.637058,0.596287,0.090547,0.0,1.896909,0.0,0.998087,0.980266
1.7616,0.3513,0.687659,0.009883,0.0,0.687621,0.581753,0.554583,0.100547,0.0,1.959856,0.0,0.999384,0.994194
1.7616,0.4113,0.68655,0.010014,0.0,0.686104,0.56376,0.540498,0.100234,0.0,1.948107,0.0,0.999477,0.995486
1.7616,0.4816,0.69033,0.01255,0.0,0.690204,0.582164,0.553683,0.101458,0.0,1.980145,0.0,0.998769,0.982616
1.7616,0.564,0.692776,0.010492,0.0,0.692493,0.510772,0.494046,0.106823,0.0,1.957813,0.0,0.999357,0.982877
1.7616,0.6604,0.701495,0.008815,0.0,0.701197,0.471592,0.450786,0.113594,0.0,1.915969,0.0,0.999157,0.950553
1.7616,0.7733,0.71122,0.007343,0.0,0.710899,0.368219,0.367655,0.121094,1e-06,1.834717,1e-06,0.994055,0.909244
1.7616,0.9055,0.715016,0.005602,0.0,0.714615,0.253894,0.252149,0.130052,1e-06,1.726093,1e-06,0.96829,0.833541
1.7616,1.0602,0.716554,0.004963,0.0,0.714294,0.179552,0.178929,0.133802,1e-06,1.678811,1e-06,0.891382,0.795607
1.7616,1.2415,0.712884,0.006257,0.0,0.709553,0.099372,0.099295,0.133698,0.0,1.772469,0.0,0.56876,0.796798
1.7616,1.4537,0.710402,0.008218,0.0,0.706029,0.04802,0.047769,0.133854,0.0,1.892342,0.0,0.205606,0.795126
1.7616,1.7022,0.70853,0.008209,0.0,0.704877,0.037824,0.037585,0.133229,0.0,1.889387,0.0,0.134515,0.80184
1.7616,1.9932,0.707827,0.008581,0.0,0.705128,0.022233,0.021632,0.133932,0.0,1.908544,0.0,0.05171,0.794311
1.7616,2.3339,0.704248,0.009672,0.0,0.701543,0.017111,0.01692,0.132839,0.0,1.951411,0.0,0.030201,0.805937
1.7616,2.7328,0.705541,0.009859,0.0,0.702494,0.018523,0.017942,0.133698,0.0,1.955443,0.0,0.036868,0.796808
