rank,rule,wolfram_class,complexity,mean_H,std_H,opacity_up,opacity_down,t_comp,gzip_ratio,w_entropy,w_opacity,w_tcomp,w_gzip
182,99,C2,0.0,0.999461,0.0,0.0,0.416029,0.021991,0.02504,0.035678,0.0,0.0,0.325042
183,100,C2,0.0,0.658991,0.0,0.0,0.603295,0.993333,0.006267,1.324652,0.0,2e-06,0.172529
184,104,C2,0.0,0.376428,0.0,0.0,0.297457,0.993333,0.00704,1.324652,0.0,2e-06,0.177584
185,114,C2,0.0,0.951151,0.000619,0.003809,0.631745,0.256649,0.021973,1.343068,0.0,0.000283,0.29593
186,119,C2,0.0,0.874391,0.069911,0.261099,0.767808,0.1192,0.024622,0.999993,0.000135,0.0,0.320985
187,123,C2,0.0,0.946783,0.040167,0.31901,0.758826,0.188071,0.00832,0.992291,2.7e-05,6e-06,0.186179
188,127,C2,0.0,0.677823,0.132121,0.187308,0.540542,0.127147,0.009404,1.0,0.0,0.0,0.193687
189,128,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
190,130,C2,0.0,0.6677,0.0,0.0,0.608631,0.646329,0.013253,1.324652,0.0,0.709133,0.222018
191,132,C2,0.0,0.647025,0.0,0.0,0.612737,0.993333,0.006356,1.324652,0.0,2e-06,0.173105
192,133,C2,0.0,0.977072,0.008345,0.0,0.766977,0.919218,0.01432,1.552193,9.9e-05,0.000125,0.230337
193,136,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
194,140,C2,0.0,0.802446,0.0,0.0,0.719382,0.993333,0.006578,1.324652,1e-06,2e-06,0.17455
195,141,C2,0.0,0.988139,0.0,0.0,0.595013,0.993333,0.006027,0.704825,0.0,2e-06,0.170982
196,144,C2,0.0,0.673262,0.0,0.0,0.611776,0.641031,0.012924,1.324652,0.0,0.747516,0.219494
197,152,C2,0.0,0.69639,0.0,0.0,0.625728,0.61984,0.013458,1.324652,0.0,0.883378,0.223597
198,156,C2,0.0,0.999461,0.0,0.19702,0.691381,0.863538,0.007431,0.035678,0.0,0.001872,0.18018
199,157,C2,0.0,0.997331,0.0,0.318485,0.679512,0.863538,0.007502,0.175762,0.0,0.001872,0.180655
200,160,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
201,163,C2,0.0,0.953175,0.001018,0.025154,0.634719,0.251004,0.023644,1.364262,0.0,0.000213,0.3116
202,164,C2,0.0,0.431793,0.0,0.0,0.41812,0.993333,0.005964,1.324652,0.0,2e-06,0.170582
203,168,C1,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
204,172,C2,0.0,0.573384,0.0,0.0,0.540287,0.993333,0.006169,1.324652,0.0,2e-06,0.171898
205,177,C2,0.0,0.95317,0.000909,0.028174,0.634441,0.25104,0.022089,1.357176,0.0,0.000213,0.296998
206,178,C2,0.0,0.99959,0.0,0.33154,0.760107,0.0,0.007778,0.027181,2.4e-05,0.0,0.182503
207,179,C2,0.0,0.99959,0.0,0.33154,0.760107,0.0,0.007778,0.027181,2.4e-05,0.0,0.182503
208,184,C2,0.0,0.996559,0.0,0.0,0.517683,0.06944,0.028044,0.225677,0.0,0.0,0.355042
209,185,C2,0.0,0.957381,0.0,0.0,0.702765,0.235751,0.020391,1.287829,0.0,9.5e-05,0.28153
210,188,C2,0.0,0.690987,0.0,0.0,0.622895,0.625138,0.013547,1.324652,0.0,0.852848,0.224285
211,189,C2,0.0,0.696474,0.0,0.0,0.625884,0.61984,0.013707,1.324652,0.0,0.883378,0.225529
212,190,C2,0.0,0.633638,0.0,0.0,0.585462,0.675467,0.013058,1.324652,0.0,0.490651,0.220515
213,191,C2,0.0,0.529239,0.0,0.0,0.504256,0.754933,0.011413,1.324652,0.0,0.09156,0.208145
214,192,C2,0.0,0.0,0.0,0.0,0.0,0.993333,0.002,0.0,0.0,2e-06,0.14649
215,194,C2,0.0,0.702481,0.0,0.0,0.629807,0.614542,0.013538,1.324652,0.0,0.910997,0.224217
216,196,C2,0.0,0.802446,0.0,0.0,0.719834,0.993333,0.006524,1.324652,1e-06,2e-06,0.174203
217,197,C2,0.0,0.986981,0.0,0.0,0.605146,0.993333,0.005982,0.758098,0.0,2e-06,0.170696
